,Origin City,Origin State,Destination City,Destination State,Route Class,Priority,Distance,Cost
242,LONGVIEW,TX,CROSBY,TX,Blue,1,258,1408.81
243,LONGVIEW,TX,KALAMA,WA,Blue,1,2942,5404.06
244,LONGVIEW,TX,AUGUSTA,GA,Green,1,1070,3627.64
245,LONGVIEW,TX,VALLEYFIELD,QC,Blue,1,1674,4094.91
246,LONGVIEW,TX,CARSON,CA,Red,1,1596,6728.45
247,LONGVIEW,TX,CITY OF COMMERCE,CA,Red,1,1986,5477.66
248,LONGVIEW,TX,ST LOUIS,MO,Blue,1,578,2150.68
249,LONGVIEW,TX,PEARLAND,TX,Red,1,245,1229.04
250,LONGVIEW,TX,EVENDALE,OH,Blue,1,1000,2961.16
251,LONGVIEW,TX,BETTENDORF,IA,Blue,1,924,2823.18
252,LONGVIEW,TX,BEDFORD PARK,IL,Blue,1,1018,2806.01
253,LONGVIEW,TX,PORT ARTHUR,TX,Blue,1,283,1474.58
254,LONGVIEW,TX,READING,PA,Green,1,1513,2200.73
255,LONGVIEW,TX,BROWNSVILLE,TX,Blue,1,580,1987.73
256,LONGVIEW,TX,NORTH CHICAGO,IL,Green,1,970,3261.3
257,LONGVIEW,TX,LANCASTER,TX,Red,1,137,1947.72
258,LONGVIEW,TX,MILITARY,KS,Red,1,785,3104.64
259,LONGVIEW,TX,PLEASANT PRAIRIE,WI,Green,1,898,3757.88
260,LONGVIEW,TX,EAGLE PASS,TX,Blue,1,514,1862.63
261,LONGVIEW,TX,BROWNSVILLE,TX,Blue,1,580,2171.11
262,LONGVIEW,TX,ELIZABETH,NJ,Green,1,1736,5054.58
263,LONGVIEW,TX,HOUSTON,TX,Blue,1,233,1340.89
264,LONGVIEW,TX,CALUMET CITY,IL,Blue,1,862,2521.03
265,LONGVIEW,TX,EDMONTON,AB,Blue,1,2483,5677.66
266,LONGVIEW,TX,EL DORADO,KS,Red,1,546,2625.22
267,LONGVIEW,TX,MORRISVILLE,PA,Blue,1,1628,4021.42
268,LONGVIEW,TX,DENVER,CO,Red,1,1338,4102.36
269,LONGVIEW,TX,BRIGHTON,MA,Green,1,1781,3728.9
270,LONGVIEW,TX,LOUISVILLE,KY,Green,1,781,2507.65
271,LONGVIEW,TX,WINNIPEG,MB,Blue,1,2025,4144.09
272,LONGVIEW,TX,DODDVILLE,SC,Green,1,1014,1728.93
273,LONGVIEW,TX,WOODS CROSS,UT,Blue,1,1505,2991.4
274,LONGVIEW,TX,EAGLE PASS,TX,Blue,1,514,2042.75
275,LONGVIEW,TX,NEW WESTMINSTER,BC,Blue,1,3247,5481.73
276,LONGVIEW,TX,EAGLE PASS,TX,Blue,1,514,1774.78
277,LONGVIEW,TX,ST PAUL,MN,Blue,1,1132,3194.77
278,LONGVIEW,TX,WYANDOTTE,MI,Blue,1,1069,3084.16
279,LONGVIEW,TX,BEDFORD PARK,IL,Blue,1,1063,2886.12
280,LONGVIEW,TX,LA PORTE,TX,Blue,1,316,1558.56
281,LONGVIEW,TX,STOCKTON,OH,Green,1,939,3392.35
282,LONGVIEW,TX,TOLENAS,CA,Red,1,2029,3162.37
283,LONGVIEW,TX,BRAMPTON,ON,Blue,1,1388,3811.24
284,LONGVIEW,TX,TRENTON,MI,Green,1,1169,3800.73
285,LONGVIEW,TX,HALE,TX,Red,1,426,1992.36
286,LONGVIEW,TX,EAST TAMPA,FL,Green,1,1170,4595.91
287,LONGVIEW,TX,COLUMBUS,GA,Green,1,792,3118.02
288,LONGVIEW,TX,FRONTIER,KS,Red,1,835,2688.36
289,LONGVIEW,TX,CLARKSON,ON,Blue,1,1328,3711.05
290,STRANG,TX,TEXAS CITY,TX,Red,1,50,1251.2
291,STRANG,TX,KINGSPORT,TN,Blue,1,1106,2965.66
292,TEXAS CITY,TX,KINGSPORT,TN,Blue,2,1121,2411.73
293,TEXAS CITY,TX,LAREDO,TX,Blue,1,405,1739.41
294,TEXAS CITY,TX,BAYPORT,TX,Red,1,20,1349.62
295,TEXAS CITY,TX,ARGO,IL,Green,1,1115,3513.72
296,TEXAS CITY,TX,LONGVIEW,TX,Blue,1,275,1453.75
297,TEXAS CITY,TX,EAGLE PASS,TX,Blue,1,427,1647.7
298,TEXAS CITY,TX,EAGLE PASS,TX,Blue,1,427,1880.41
299,TEXAS CITY,TX,BROWNSVILLE,TX,Blue,1,363,1763.31
300,VIOLA,TX,KINGSPORT,TN,Green,2,1361,4209.23
301,HERCULES,VA,GURNEE,IL,Red,1,1060,3587.94
302,HERCULES,VA,ALERT,FL,Red,1,806,5525.39
303,HERCULES,VA,LA PORTE,TX,Green,1,1431,4653.6
304,KALAMA,WA,WORTON,MD,Green,2,3117,8172.43
305,KENT,WA,CITY OF INDUSTRY,CA,Red,1,1302,5102.81
